customerkey,FirstName,LastName,Full_Name,MaritalStatus,Gender,customer_city
11000,Jon,Yang,"Jon Yang",M,Male,Rockhampton
11001,Eugene,Huang,"Eugene Huang",S,Male,Seaford
11002,Ruben,Torres,"Ruben Torres",M,Male,Hobart
11003,Christy,Zhu,"Christy Zhu",S,Female,"North Ryde"
11004,Elizabeth,Johnson,"Elizabeth Johnson",S,Female,Wollongong
11005,Julio,Ruiz,"Julio Ruiz",S,Male,"East Brisbane"
11006,Janet,Alvarez,"Janet Alvarez",S,Female,Matraville
11007,Marco,Mehta,"Marco Mehta",M,Male,Warrnambool
11008,Rob,Verhoff,"Rob Verhoff",S,Female,Bendigo
11009,Shannon,Carlson,"Shannon Carlson",S,Male,"Hervey Bay"
11010,Jacquelyn,Suarez,"Jacquelyn Suarez",S,Female,"East Brisbane"
11011,Curtis,Lu,"Curtis Lu",M,Male,"East Brisbane"
11012,Lauren,Walker,"Lauren Walker",M,Female,Bremerton
11013,Ian,Jenkins,"Ian Jenkins",M,Male,Lebanon
11014,Sydney,Bennett,"Sydney Bennett",S,Female,Redmond
11015,Chloe,Young,"Chloe Young",S,Female,Burbank
11016,Wyatt,Hill,"Wyatt Hill",M,Male,"Imperial Beach"
11017,Shannon,Wang,"Shannon Wang",S,Female,Sunbury
11018,Clarence,Rai,"Clarence Rai",S,Male,Bendigo
11019,Luke,Lal,"Luke Lal",S,Male,NULL
11020,Jordan,King,"Jordan King",S,Male,NULL
11021,Destiny,Wilson,"Destiny Wilson",S,Female,Beaverton
11022,Ethan,Zhang,"Ethan Zhang",M,Male,Bellingham
11023,Seth,Edwards,"Seth Edwards",M,Male,Bellflower
11024,Russell,Xie,"Russell Xie",M,Male,Concord
11025,Alejandro,Beck,"Alejandro Beck",M,Male,Hawthorne
11026,Harold,Sai,"Harold Sai",S,Male,Goulburn
11027,Jessie,Zhao,"Jessie Zhao",M,Male,Warrnambool
11028,Jill,Jimenez,"Jill Jimenez",M,Female,"St. Leonards"
11029,Jimmy,Moreno,"Jimmy Moreno",M,Male,Bendigo
11030,Bethany,Yuan,"Bethany Yuan",M,Female,Cloverdale
11031,Theresa,Ramos,"Theresa Ramos",M,Female,Matraville
11032,Denise,Stone,"Denise Stone",M,Female,Melbourne
11033,Jaime,Nath,"Jaime Nath",M,Male,"Milsons Point"
11034,Ebony,Gonzalez,"Ebony Gonzalez",M,Female,"North Sydney"
11035,Wendy,Dominguez,"Wendy Dominguez",M,Female,Cranbourne
11036,Jennifer,Russell,"Jennifer Russell",M,Female,"National City"
11037,Chloe,Garcia,"Chloe Garcia",S,Female,NULL
11038,Diana,Hernandez,"Diana Hernandez",M,Female,"Lavender Bay"
11039,Marc,Martin,"Marc Martin",M,Male,Wollongong
11040,Jesse,Murphy,"Jesse Murphy",M,Male,Tacoma
11041,Amanda,Carter,"Amanda Carter",M,Female,Glendale
11042,Megan,Sanchez,"Megan Sanchez",M,Female,"Los Angeles"
11043,Nathan,Simmons,"Nathan Simmons",M,Male,Glendale
11044,Adam,Flores,"Adam Flores",M,Male,"Hervey Bay"
11045,Leonard,Nara,"Leonard Nara",S,Male,Matraville
11046,Christine,Yuan,"Christine Yuan",M,Female,"Lavender Bay"
11047,Jaclyn,Lu,"Jaclyn Lu",M,Female,Geelong
